"scenario_no","join_key","truth_log","truth_exp","endpoint","metric"
"6","8b",-0.426876452895905,0.652544167190076,"Time-to-Event (TTE)","AHR"
"6","8c",-0.429318586662509,0.650952511354466,"Time-to-Event (TTE)","AHR"
"6","9a",-0.424885061711178,0.653844932628814,"Time-to-Event (TTE)","AHR"
"6","9b",-0.427941843032565,0.651849323276266,"Time-to-Event (TTE)","AHR"
"1","10a",-0.407238795569766,0.665485256394948,"Binary","OR"
"1","10b",-0.409468513222891,0.664003065218863,"Binary","OR"
"1","10c",-0.410244394379571,0.663488077563025,"Binary","OR"
"1","1a",-0.409528430866832,0.663963280911527,"Binary","OR"
"1","1b",-0.409297359614277,0.664116721465666,"Binary","OR"
"1","2a",-0.40679680246459,0.665779461303352,"Binary","OR"
"1","2b",-0.411157244756789,0.662882688577963,"Binary","OR"
"1","3a",-0.408508460493655,0.664640849278023,"Binary","OR"
"1","3b",-0.409641904521583,0.663887942845946,"Binary","OR"
"1","4a",-0.412890235773927,0.661734913662305,"Binary","OR"
"1","4b",-0.411328095132297,0.662769444495874,"Binary","OR"
"1","4c",-0.412635429178043,0.661903549566891,"Binary","OR"
"1","5a",-0.407729550429074,0.665158746396312,"Binary","OR"
"1","5b",-0.409763011266848,0.663807546406341,"Binary","OR"
"1","5c",-0.40694113140684,0.665683376991971,"Binary","OR"
"1","5d",-0.411770161547768,0.662476521133822,"Binary","OR"
"1","6a",-0.412189089186874,0.66219904953318,"Binary","OR"
"1","6b",-0.413756686317809,0.661161801409023,"Binary","OR"
"1","7a",-0.407264500919177,0.665468150083767,"Binary","OR"
"1","7b",-0.410968299529658,0.663007948931417,"Binary","OR"
"1","8a",-0.409399999801002,0.664048559899486,"Binary","OR"
"1","8b",-0.404816510639012,0.667099205235982,"Binary","OR"
"1","8c",-0.412402063987948,0.662058032839368,"Binary","OR"
"1","9a",-0.411083518237815,0.662931562412706,"Binary","OR"
"1","9b",-0.408994044736112,0.664318188500555,"Binary","OR"
"2","10a",-0.422378452753166,0.655485921994207,"Binary","OR"
"2","10b",-0.423556952245703,0.654713887178444,"Binary","OR"
"2","10c",-0.423433168185914,0.654794935337531,"Binary","OR"
"2","1a",-0.422423698797223,0.655456264520248,"Binary","OR"
"2","1b",-0.424094824181083,0.654361829642249,"Binary","OR"
"2","2a",-0.421702317266918,0.655929269151286,"Binary","OR"
"2","2b",-0.424301962936362,0.654226299984562,"Binary","OR"
"2","3a",-0.419517615636149,0.657363845385195,"Binary","OR"
"2","3b",-0.42420179944729,0.654291832855357,"Binary","OR"
"2","4a",0.00385912289936248,1.00386657890226,"Binary","OR"
"2","4b",-0.632056666657299,0.531497562835105,"Binary","OR"
"2","4c",-0.632296477371217,0.531370119306888,"Binary","OR"
"2","5a",-0.425438369541206,0.653483255176676,"Binary","OR"
"2","5b",-0.421521027752013,0.656048193029803,"Binary","OR"
"2","5c",-0.420692562452334,0.656591931395729,"Binary","OR"
"2","5d",-0.42502458252635,0.653753714014413,"Binary","OR"
"2","6a",-0.418895560656618,0.657772889049214,"Binary","OR"
"2","6b",-0.432077314601817,0.649159185260983,"Binary","OR"
"2","7a",-0.421370404269001,0.656147016736059,"Binary","OR"
"2","7b",-0.424651226063415,0.653997842759394,"Binary","OR"
"2","8a",-0.424195364138135,0.654296043439127,"Binary","OR"
"2","8b",-0.419783358483252,0.657189178854558,"Binary","OR"
"2","8c",-0.425215884095124,0.653628661865048,"Binary","OR"
"2","9a",-0.424750679316469,0.653932803780664,"Binary","OR"
"2","9b",-0.422885069325269,0.655153926067764,"Binary","OR"
"3","10a",-0.0445144539549745,0.956461775338274,"Binary","OR"
"3","10b",-0.0476928419249996,0.953426594783585,"Binary","OR"
"3","10c",-0.0491115437125173,0.952074925803608,"Binary","OR"
"3","1a",-0.046954756968983,0.954130564372584,"Binary","OR"
"3","1b",-0.0485792529569354,0.952581841386505,"Binary","OR"
"3","2a",-0.0480666912766144,0.953070223488052,"Binary","OR"
"3","2b",-0.0475713474885472,0.953542437847418,"Binary","OR"
"3","3a",-0.0471076121308368,0.953984731736657,"Binary","OR"
"3","3b",-0.0479321461147956,0.953198463102312,"Binary","OR"
"3","4a",-0.688135504418107,0.502512127798326,"Binary","OR"
"3","4b",0.217609996462024,1.24310215882713,"Binary","OR"
"3","4c",0.221333187886891,1.24773909286514,"Binary","OR"
"3","5a",-0.0436988079960361,0.957242227763373,"Binary","OR"
"3","5b",-0.047269611237214,0.953830199579991,"Binary","OR"
"3","5c",-0.0486032474097945,0.952558984980632,"Binary","OR"
"3","5d",-0.0488651914833611,0.952309500476714,"Binary","OR"
"3","6a",-0.0416894772049839,0.959167577730814,"Binary","OR"
"3","6b",-0.0522371135334969,0.949103794805689,"Binary","OR"
"3","7a",-0.0433499735411197,0.957576205082129,"Binary","OR"
"3","7b",-0.050697041008812,0.950566609614463,"Binary","OR"
"3","8a",-0.0455730873072951,0.955449768769148,"Binary","OR"
"3","8b",-0.0432766370423426,0.957646432943423,"Binary","OR"
"3","8c",-0.0513633529029958,0.949933446741665,"Binary","OR"
"3","9a",-0.0461745769016822,0.954875248476584,"Binary","OR"
"3","9b",-0.0481680522485459,0.952973624259659,"Binary","OR"
